acousticness;danceability;energy;valence;tempo;loudness;speechiness;instrumentalness;track_popularity;is_hit
542;414;525;626;146254;-10343;335;0,000477;0;0
0,00962;623;983;271;134975;-3548;151;617;640;1
989;296;172;521;131579;-2373;572;0;0;0
235;53;91;629;135154;-6674;364;308;;0
5,87E+15;667;7,51E+15;786;125334;-11647;525;901;;0
962;293;314;126;109433;-34168;419;653;;0
988;302;725;1,99E+15;1,31949E+16;-9531;437;399;;0
267;599;8,76E+15;926;144921;-2745;185;276;;0
5,92E+15;639;264;696;127753;-13437;443;167;;0
863;489;186;349;102245;-1,6237E+16;2,9E+14;152;660;1
698;496;907;8,24E+15;114834;-5944;356;315;20;0
153;637;675;478;120568;-13022;642;816;;0
296;623;417;721;130032;-8699;354;0;740;1
0,00375;385;964;153;143987;-6,762E+16;939;64400000000;;0
8,37E+15;5,53E+15;857;807;91682;-5,452E+15;405;5,72E+15;;0
105;691;6,56E+15;411;165767;-13737;11;8,44E+15;10;0
215;727;532;804;88978;-1024;409;157;0;0
8,64E+15;395;184;242;131739;-171;429;394;;0
137;6,86E+15;746;7,76E+15;1,39962E+16;-6,927E+16;312;276;300;0
247;632;8,64E+15;5,38E+15;102705;-6669;341;104;0;0
143;6,81E+15;779;963;125599;-9738;452;484;;0
42;6,99E+15;7,66E+15;529;104026;-5928;319;946;;0
275;6,99E+15;83;731;92855;-10935;365;241;670;1
93;411;266;411;98335;-8238;281;0,00234;;0
992;421;135;141;128226;-22411;352;723;0;0
994;281;308;385;8153;-27229;38;92;;0
293;3,29E+15;983;191;1,52098E+16;-4998;206;0,00101;0;0
502;439;913;477;198951;-6608;147;206;;0
205;37;838;889;98235;-6935;314;6,97E+15;;0
0,000329;246;605;606;66328;-6106;423;924;;0
819;494;6,51E+15;162;1,49979E+16;-4127;384;0;610;1
979;2,69E+15;195;1,64E+15;87314;-21665;382;924;40;0
381;64;8,34E+15;774;10992;-3325;263;0;20;0
57;249;5,67E+15;346;77931;-6,321E+16;292;0,00304;;0
293;379;903;462;141961;-4809;503;457;;0
698;503;39;285;97944;-779;289;0,000394;;0
5,33E+15;542;467;352;107738;-18794;161;593;;0
232;795;534;948;13024;-16412;312;483;100;0
123;325;897;384;119379;-4577;44;0,000198;;0
1,02E+13;477;926;4,32E+15;110012;-3027;585;157;;0
163;615;868;957;93978;-4251;364;221;240;0
322;518;462;289;131892;-8471;277;0,000313;610;1
48;604;4,97E+15;2,32E+15;84945;-8788;323;0;;0
943;64;8,69E+15;509;108043;-5853;612;129;;0
0,000171;311;933;376;169991;-7,412E+15;819;875;;0
474;628;652;746;103859;-7374;32;0;;0
763;914;6,89E+15;7,91E+15;92971;-7,203E+15;335;0,000896;;0
